Data Solicitação;Data Aprovação;Data Entrega Ponto Coleta;Data Recebimento;Número Solicitação;Cod. Cliente;Razão Social;UF Cliente;Qtd. Cartuchos;Cód. Categoria;Desc. Categoria;Ponto de coleta;Status
05/09/2007;07/01/2008;08/01/2008;;E07090000908;;;;5;;;;Cancelada
06/09/2007;09/06/2007;31/01/2007;;E07090001033;;;;100;;;;Cancelada
10/09/2007;10/09/2007;10/09/2007;10/09/2007;E07090007074;;;;300;;;;Encerrada
11/09/2007;;;;E07090007406;;;;100;;;;Rejeitada
12/09/2007;09/12/2007;14/09/2007;;E07090008127;;;;100;;;;Material entregue e ainda não devolvido
12/09/2007;12/09/2007;12/09/2007;;E07090008208;;;;500;;;;Material entregue e ainda não devolvido
12/09/2007;12/09/2007;12/09/2007;;E07090008470;;;;400;;;;Material entregue e ainda não devolvido
12/09/2007;12/09/2007;12/09/2007;13/09/2007;E07090008631;;;;200;;;;Encerrada
12/09/2007;12/09/2007;12/09/2007;13/09/2007;E07090008712;;;;500;;;;Encerrada
12/09/2007;12/09/2007;12/09/2007;13/09/2007;E07090008984;;;;500;;;;Encerrada
12/09/2007;12/09/2007;12/09/2007;13/09/2007;E07090009107;;;;500;;;;Encerrada
12/09/2007;12/09/2007;12/09/2007;13/09/2007;E07090009360;;;;500;;;;Encerrada
12/09/2007;12/09/2007;12/09/2007;13/09/2007;E07090010024;;;;400;;;;Encerrada
12/09/2007;12/09/2007;12/09/2007;17/09/2007;E07090011691;;;;200;;;;Encerrada
12/09/2007;12/09/2007;12/09/2007;13/09/2007;E07090011772;;;;400;;;;Encerrada
12/09/2007;18/09/2007;21/09/2007;21/09/2007;E07090012078;;;;400;;;;Encerrada
17/09/2007;17/09/2007;17/09/2007;17/09/2007;E07090014526;;;;400;;;;Encerrada
17/09/2007;17/09/2007;17/09/2007;17/09/2007;E07090014607;;;;400;;;;Encerrada
17/09/2007;17/09/2007;17/09/2007;17/09/2007;E07090014798;;;;200;;;;Encerrada
17/09/2007;17/09/2007;17/09/2007;17/09/2007;E07090014879;;;;100;;;;Encerrada
17/09/2007;17/09/2007;17/09/2007;17/09/2007;E07090015336;;;;400;;;;Encerrada
17/09/2007;17/09/2007;17/09/2007;17/09/2007;E07090015417;;;;300;;;;Encerrada
17/09/2007;17/09/2007;17/09/2007;17/09/2007;E07090015506;;;;200;;;;Encerrada
17/09/2007;17/09/2007;17/09/2007;17/09/2007;E07090019242;;;;400;;;;Encerrada
17/09/2007;17/09/2007;17/09/2007;21/09/2007;E07090019323;;;;300;;;;Encerrada
18/09/2007;18/09/2007;18/09/2007;21/09/2007;E07090020925;;;;320;;;;Encerrada
18/09/2007;18/09/2007;;;E07090021140;;;;1;;;;Aprovada
18/09/2007;18/09/2007;;;E07090021220;;;;1000;;;;Aprovada
24/09/2007;08/10/2007;08/10/2007;;E07090024165;;;;140;;;;Material entregue e ainda não devolvido
08/10/2007;08/10/2007;08/10/2007;;E07100000735;;;;1;;;;Material entregue e ainda não devolvido
09/10/2007;;;;E07100001898;;;;40;;;;Em espera de Aprovação
09/10/2007;;;;E07100001979;;;;40;;;;Em espera de Aprovação
09/10/2007;;;;E07100002002;;;;40;;;;Em espera de Aprovação
09/10/2007;;;;E07100002193;;;;40;;;;Em espera de Aprovação
09/10/2007;;;;E07100002274;;;;40;;;;Em espera de Aprovação
09/10/2007;;;;E07100002355;;;;40;;;;Em espera de Aprovação
09/10/2007;;;;E07100002436;;;;40;;;;Em espera de Aprovação
10/10/2007;10/10/2007;10/10/2007;;E07100003408;;;;10;;;;Material entregue e ainda não devolvido
23/10/2007;23/10/2007;23/10/2007;;E07100005028;;;;10;;;;Material entregue e ainda não devolvido
23/10/2007;23/10/2007;23/10/2007;;E07100005290;;;;10;;;;Material entregue e ainda não devolvido
31/10/2007;;;;E07100005532;;;;50;;;;Em espera de Aprovação
01/11/2007;;;;E07110000347;;;;10;;;;Em espera de Aprovação
07/11/2007;;;;E07110000690;;;;10;;;;Em espera de Aprovação
