Cod. Cliente;Razão Social;Cod. Categoria;Desc. Categoria;Cod. Grupo;Desc. Grupo;Cod. Bônus;Desc. Bônus;Data Cadastro;Status
100;ACC BRASIL IND.E COM.DE COMPUTADORES LTDA-ACCEPT ;4;Revendedor;1;;00001;Pontuação VAR-Sudeste;03/11/2008;Aprovado
101;Voluntarios da Patria;5;Empresas / Estado de São Paulo;1;;00009;Pontuação Governo e Corporativo - Sudeste;14/10/2008;Aprovado
102;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;4;Revendedor;5;Premier;00003;Pontuação VAR - Sul;12/11/2008;Aprovado
103;ITAU S/A;5;Empresas / Estado de São Paulo;2;Banco Itau;00001;Pontuação VAR-Sudeste;;Aprovado
104;Banco Itau;5;Empresas / Estado de São Paulo;2;Banco Itau;00007;Bônus Banco Itaú;;Aprovado
112;Trivèlla Investimentos Ltda;2;Usuário Final-cadastro com CPF (à partir de 15 cart.);1;;;;;Aprovado
113;Banco Itau ;7;Empresas / Estados PR; SC e RS;1;;00007;Bônus Banco Itaú;19/08/2008;Aprovado
114;Don Paco Moveis LTDA;5;Empresas / Estado de São Paulo;1;;00009;Pontuação Governo e Corporativo - Sudeste;22/08/2008;Aprovado
115;A;5;Empresas / Estado de São Paulo;1;;;;25/08/2008;Status em branco
116;Case Sensitive Serviços de Tradução;2;Usuário Final-cadastro com CPF (à partir de 15 cart.);1;;;;01/09/2008;Aprovado
117;DISTRIFILM COMERCIAL LTDA;4;Revendedor;1;;00001;Pontuação VAR-Sudeste;08/09/2008;Aprovado
118;BIRD SOLUTION LTDA;4;Revendedor;1;;00001;Pontuação VAR-Sudeste;09/09/2008;Aprovado
119;CSV PALOTINAS- COLÉGIO SÃO JOSÉ;5;Empresas / Estado de São Paulo;1;;00009;Pontuação Governo e Corporativo - Sudeste;16/09/2008;Aprovado
120;Multh Comércio Materiais Equipamentos Ltda;4;Revendedor;1;;00001;Pontuação VAR-Sudeste;16/09/2008;Aprovado
121;Tecnopop Comunicação Visual e Multimídia Ltda;6;Empresas / Estados RJ; MG e ES;1;;00009;Pontuação Governo e Corporativo - Sudeste;18/09/2008;Aprovado
122;Dimex do Triângulo Ltda;4;Revendedor;1;;00001;Pontuação VAR-Sudeste;18/09/2008;Aprovado
123;ALLDORA TECNOLOGIA LTDA;4;Revendedor;1;;00001;Pontuação VAR-Sudeste;22/09/2008;Aprovado
124;Taji Consultoria e Assessoria Ltda.;5;Empresas / Estado de São Paulo;1;;00009;Pontuação Governo e Corporativo - Sudeste;25/09/2008;Aprovado
125;DEPARTAMENTO ESTADUAL DE TRANSITO;3;Órgãos Públicos e Empresas Estatais;1;;00010;Pontuação Governo e Corporativo - Nordeste;25/09/2008;Aprovado
126;Buriti Imóveis e Administração Ltda.;5;Empresas / Estado de São Paulo;1;;00009;Pontuação Governo e Corporativo - Sudeste;30/09/2008;Aprovado
127;Prefeitura Municipal da Estancia Turistica de Embu ;3;Órgãos Públicos e Empresas Estatais;1;;00009;Pontuação Governo e Corporativo - Sudeste;30/09/2008;Aprovado
128;Sandria Projetos e Construções Ltda;5;Empresas / Estado de São Paulo;1;;00009;Pontuação Governo e Corporativo - Sudeste;01/10/2008;Aprovado
129;COMPANHIA DO METROPOLITANO DE SÃO PAULO;3;Órgãos Públicos e Empresas Estatais;1;;00009;Pontuação Governo e Corporativo - Sudeste;01/10/2008;Aprovado
130;MARINHO PROCESSAMENTO DE DADOS;5;Empresas / Estado de São Paulo;1;;00009;Pontuação Governo e Corporativo - Sudeste;02/10/2008;Aprovado
131;BANCO DO NACIONAL DO DESENVOLVIMENTO ECONOMICO E SOCIAL;3;Órgãos Públicos e Empresas Estatais;1;;00009;Pontuação Governo e Corporativo - Sudeste;02/10/2008;Aprovado
132;AMC Comunicação S/C Ltda;5;Empresas / Estado de São Paulo;1;;00009;Pontuação Governo e Corporativo - Sudeste;02/10/2008;Aprovado
133;CD STUDIO;5;Empresas / Estado de São Paulo;1;;00009;Pontuação Governo e Corporativo - Sudeste;02/10/2008;Aprovado
134;SIMPTEC COMÉRCIO DE MÁQUINAS LTDA;4;Revendedor;1;;00001;Pontuação VAR-Sudeste;03/10/2008;Aprovado
135;BELOCOPY COMERCIO DE EQUIPAMENTOS REPROGRAFICOS LTDA;4;Revendedor;1;;00001;Pontuação VAR-Sudeste;06/10/2008;Aprovado
136;KITANI LOCAÇÃO E COM. DE EQUIPS LTDA;4;Revendedor;1;;00001;Pontuação VAR-Sudeste;07/10/2008;Aprovado
137;Pharmedic Pharmaceuticals Imp.Distr.Com.Rep.Ltda;5;Empresas / Estado de São Paulo;1;;00009;Pontuação Governo e Corporativo - Sudeste;07/10/2008;Aprovado
