Cod. Cliente;Razão Social;Cod. Categoria;Desc. Categoria;Cod. Grupo;Desc. Grupo;Cod. Bônus;Desc. Bônus;Data Cadastro;Status
33;Miracula;2;Usuário Final;1;;;;09/10/2007;Status em branco
34;Miracula;2;Usuário Final;1;;;;09/10/2007;Status em branco
35;Miracula;2;Usuário Final;1;;;;09/10/2007;Status em branco
36;Miracula;2;Usuário Final;1;;;;09/10/2007;Status em branco
37;Miracula;2;Usuário Final;1;;;;09/10/2007;Status em branco
38;Mirola;2;Usuário Final;1;;;;09/10/2007;Status em branco
39;Miracula;2;Usuário Final;1;;;;09/10/2007;Status em branco
44;alex;2;Usuário Final;1;;;;31/10/2007;Status em branco
46;teste Miracula;2;Usuário Final;1;;;;01/11/2007;Status em branco
47;Teste OKIDATA;1;Corporativa;1;;;;06/11/2007;Status em branco
48;teste Miracula;1;Corporativa;1;;;;07/11/2007;Status em branco
49;alex Silveira;1;Corporativa;1;;;;07/11/2007;Status em branco
50;mira;1;Corporativa;1;;;;07/11/2007;Status em branco
52;teste Miracula;1;Corporativa;1;;;;07/11/2007;Status em branco
53;Bozolina71218258640;1;Corporativa;1;;;;07/11/2007;Status em branco
54;miracula;1;Corporativa;1;;;;07/11/2007;Status em branco
55;teste Miracula;1;Corporativa;1;;;;08/11/2007;Status em branco
56;alex teste teste;1;Corporativa;1;;;;08/11/2007;Status em branco
60;Jadilson Miracula;1;Corporativa;1;;;;09/11/2007;Status em branco
65;Koraicho Ltda.;1;Corporativa;1;;;;06/12/2007;Status em branco
68;Leandro;1;Corporativa;1;;;;10/12/2007;Status em branco
69;Marcela;2;Usuário Final;1;;;;11/12/2007;Status em branco
71;sei lá;1;Corporativa;1;;;;11/12/2007;Status em branco
72;Cliente 21 Ltda;2;Usuário Final;1;;;;11/12/2007;Status em branco
73;Cliente 22;1;Corporativa;1;;;;11/12/2007;Status em branco
74;Cliente 23;1;Corporativa;1;;;;11/12/2007;Status em branco
75;Cliente 25;1;Corporativa;1;;;;11/12/2007;Status em branco
76;Cliente 27;1;Corporativa;1;;;;11/12/2007;Status em branco
77;Cliente 28;1;Corporativa;1;;;;11/12/2007;Status em branco
