Cod. Cliente;Razão Social;Cod. Categoria;Desc. Categoria;Cod. Grupo;Desc. Grupo;Cod. Bônus;Desc. Bônus;Data Cadastro
33;Miracula;2;Usuário Final;1;;;;09/10/2007
34;Miracula;2;Usuário Final;1;;;;09/10/2007
35;Miracula;2;Usuário Final;1;;;;09/10/2007
36;Miracula;2;Usuário Final;1;;;;09/10/2007
37;Miracula;2;Usuário Final;1;;;;09/10/2007
38;Mirola;2;Usuário Final;1;;;;09/10/2007
39;Miracula;2;Usuário Final;1;;;;09/10/2007
44;alex;2;Usuário Final;1;;;;31/10/2007
46;teste Miracula;2;Usuário Final;1;;;;01/11/2007
47;Teste OKIDATA;1;Corporativa;1;;;;06/11/2007
48;teste Miracula;1;Corporativa;1;;;;07/11/2007
49;alex Silveira;1;Corporativa;1;;;;07/11/2007
50;mira;1;Corporativa;1;;;;07/11/2007
52;teste Miracula;1;Corporativa;1;;;;07/11/2007
53;Bozolina71218258640;1;Corporativa;1;;;;07/11/2007
54;miracula;1;Corporativa;1;;;;07/11/2007
55;teste Miracula;1;Corporativa;1;;;;08/11/2007
56;alex teste teste;1;Corporativa;1;;;;08/11/2007
60;Jadilson Miracula;1;Corporativa;1;;;;09/11/2007
65;Koraicho Ltda.;1;Corporativa;1;;;;06/12/2007
68;Leandro;1;Corporativa;1;;;;10/12/2007
69;Marcela;2;Usuário Final;1;;;;11/12/2007
71;sei lá;1;Corporativa;1;;;;11/12/2007
72;Cliente 21 Ltda;2;Usuário Final;1;;;;11/12/2007
73;Cliente 22;1;Corporativa;1;;;;11/12/2007
74;Cliente 23;1;Corporativa;1;;;;11/12/2007
75;Cliente 25;1;Corporativa;1;;;;11/12/2007
76;Cliente 27;1;Corporativa;1;;;;11/12/2007
77;Cliente 28;1;Corporativa;1;;;;11/12/2007
