Data Solicitação;Número Solicitação;Cod. Cliente;Razão Social;Qtd. Cartuchos;Data Programada;Status
27/03/2008;C08030000144;100;ACC BRASIL IND.E COM.DE COMPUTADORES LTDA-ACCEPT ;100;27/03/2008;Encerrada
28/03/2008;C08030000225;100;ACC BRASIL IND.E COM.DE COMPUTADORES LTDA-ACCEPT ;37;;Aguardando coleta
28/03/2008;C08030000810;100;ACC BRASIL IND.E COM.DE COMPUTADORES LTDA-ACCEPT ;35;28/03/2008;Encerrada
02/04/2008;C08040000180;100;ACC BRASIL IND.E COM.DE COMPUTADORES LTDA-ACCEPT ;40;01/01/2009;Em trânsito
02/04/2008;C08040000422;100;ACC BRASIL IND.E COM.DE COMPUTADORES LTDA-ACCEPT ;50;;Cancelada
14/04/2008;C08040001232;100;ACC BRASIL IND.E COM.DE COMPUTADORES LTDA-ACCEPT ;100;05/05/2008;Em trânsito
16/04/2008;C08040002557;100;ACC BRASIL IND.E COM.DE COMPUTADORES LTDA-ACCEPT ;150;28/04/2008;Encerrada
16/04/2008;C08040002638;100;ACC BRASIL IND.E COM.DE COMPUTADORES LTDA-ACCEPT ;250;05/05/2008;Em trânsito
16/04/2008;C08040002719;100;ACC BRASIL IND.E COM.DE COMPUTADORES LTDA-ACCEPT ;352;05/05/2008;Em trânsito
16/04/2008;C08040002808;100;ACC BRASIL IND.E COM.DE COMPUTADORES LTDA-ACCEPT ;45;;Cancelada
28/04/2008;C08040003014;100;ACC BRASIL IND.E COM.DE COMPUTADORES LTDA-ACCEPT ;150;;Cancelada
28/04/2008;C08040003103;100;ACC BRASIL IND.E COM.DE COMPUTADORES LTDA-ACCEPT ;200;;Aguardando coleta
28/04/2008;C08040003286;100;ACC BRASIL IND.E COM.DE COMPUTADORES LTDA-ACCEPT ;400;;Aguardando coleta
28/04/2008;C08040003367;100;ACC BRASIL IND.E COM.DE COMPUTADORES LTDA-ACCEPT ;800;;Aguardando coleta
29/04/2008;C08040003952;100;ACC BRASIL IND.E COM.DE COMPUTADORES LTDA-ACCEPT ;123;;Aguardando coleta
29/04/2008;C08040004096;100;ACC BRASIL IND.E COM.DE COMPUTADORES LTDA-ACCEPT ;124;;Aguardando coleta
29/04/2008;C08040004177;100;ACC BRASIL IND.E COM.DE COMPUTADORES LTDA-ACCEPT ;125;;Aguardando coleta
29/04/2008;C08040004258;100;ACC BRASIL IND.E COM.DE COMPUTADORES LTDA-ACCEPT ;126;;Aguardando coleta
29/04/2008;C08040004339;100;ACC BRASIL IND.E COM.DE COMPUTADORES LTDA-ACCEPT ;127;;Aguardando coleta
