Cod. Cliente;Razão Social;Cod. Categoria;Desc. Categoria;Cod. Grupo;Desc. Grupo;Cod. Bônus;Desc. Bônus;Data Cadastro;Status
1;BANCO ITAU S. A.                        ;1;Corporativa;2;Banco Itau;00018;Super bonus;05/09/2007;Aprovado
2;BANCO ITAU S. A.                        ;1;Corporativa;2;Banco Itau;00001;Banco Itau;05/09/2007;Aprovado
3;BANCO ITAU S. A.                        ;1;Corporativa;2;Banco Itau;00001;Banco Itau;05/09/2007;Aprovado
4;BANCO ABN AMRO REAL S/A                 ;1;Corporativa;3;Novo;00002;Contribuição;05/09/2007;Aprovado
5;Luciano Siqueira;2;Usuário Final;1;;;;05/09/2007;Aprovado
6;MIRACULA STORE;1;Corporativa;3;Novo;00013;Cadastro de Bonus para a Miracula Store;10/09/2007;Aprovado
7;CARMEL COMERCIAL LTDA ;1;Corporativa;3;Novo;00004;Clientes Regiao Sul;10/09/2007;Aprovado
8;NEXXIA;1;Corporativa;3;Novo;00015;fhsuhfihif;11/09/2007;Aprovado
9;LEANDRO STOROLI DOS SANTOS;2;Usuário Final;1;;;;11/09/2007;Rejeitado
10;IMPRESSORA OKI;1;Corporativa;3;Novo;;;11/09/2007;Aprovado
11;ALLDORA TECNOLOGIA LTDA;1;Corporativa;3;Novo;00004;Clientes Regiao Sul;12/09/2007;Aprovado
12;ORBIUM;1;Corporativa;3;Novo;00015;fhsuhfihif;12/09/2007;Aprovado
13;paula tami oshiro;3;Governo;4;Miracula;;;16/09/2007;Rejeitado
14;TRIBUNAL DE JUSTIÇA DO MS;3;Governo;4;Miracula;00018;Super bonus;18/09/2007;Aprovado
15;Érico Tooru Tanji ;1;Corporativa;3;Novo;00018;Super bonus;18/09/2007;Aprovado
16;ABBOTT LABORATORIOS DO BRASIL LTDA      ;2;Usuário Final;1;;;;18/09/2007;Aprovado
17;Horiba ABX Diagnostics;1;Corporativa;3;Novo;00024;EXPIRADO;18/09/2007;Aprovado
18;ACCEPT COM.E SERVICO DE TECNOLOGIA LTDA ;1;Corporativa;3;Novo;;;18/09/2007;Aprovado
19;JARDIN DE LOS OLIVOS RESTAURANTE LTDA   ;2;Usuário Final;1;;;;18/09/2007;Aprovado
20;joa;1;Corporativa;3;Novo;;;19/09/2007;Aprovado
21;TESTE MIRACULA;1;Corporativa;3;Novo;;;21/09/2007;Rejeitado
22;TESTE MIRACULA 2;1;Corporativa;3;Novo;;;21/09/2007;Rejeitado
23;TESTE MIRACULA 3;1;Corporativa;3;Novo;;;21/09/2007;Rejeitado
24;TESTE MIRACULA 3;1;Corporativa;3;Novo;00018;Super bonus;21/09/2007;Aprovado
25;Premier TI;1;Corporativa;3;Novo;00018;Super bonus;24/09/2007;Aprovado
26;Companhia Metropolityano de São PAulo;3;Governo;4;Miracula;00018;Super bonus;24/09/2007;Aprovado
27;Èrico Tooru Tanji;2;Usuário Final;1;;;;24/09/2007;Aprovado
28;Klima Campinas;1;Corporativa;3;Novo;00024;EXPIRADO;25/09/2007;Rejeitado
29;ASK INFORMATICA LTDA;1;Corporativa;3;Novo;00018;Super bonus;25/09/2007;Aprovado
30;Maderada;1;Corporativa;3;Novo;;;04/10/2007;Aprovado
31;Okidata;1;Corporativa;3;Novo;00018;Super bonus;08/10/2007;Aprovado
32;Érico Tooru Tanji;1;Corporativa;3;Novo;00024;EXPIRADO;08/10/2007;Aprovado
33;Miracula;2;Usuário Final;1;;;;09/10/2007;Status em branco
34;Miracula;2;Usuário Final;1;;;;09/10/2007;Status em branco
