Data Solicitação;Número Solicitação;Cod. Cliente;Razão Social;Qtd. Cartuchos;Data Programada;Status
11/03/2008;C08110000108;164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;36;11/05/2008;Encerrada
01/28/2009;C09010005238;164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;66;01/29/2009;Encerrada
12/22/2008;C08120005528;164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;110;12/30/2008;Encerrada
03/10/2009;C09030001211;164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;55;03/12/2009;Encerrada
06/10/2009;C09060001570;164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;82;06/18/2009;Em trânsito
07/13/2009;C09070002154;164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;66;07/20/2009;Em trânsito
05/05/2009;C09050000997;164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;76;05/07/2009;Encerrada
03/18/2009;C09030004156;164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;49;03/20/2009;Encerrada
03/02/2010;C10030000936;164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;182;04/16/2010;Encerrada
04/09/2010;C10040001510;164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;181;04/16/2010;Encerrada
04/28/2010;C10040005000;164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;86;05/03/2010;Encerrada
06/22/2010;C10060003704;164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;36;07/21/2010;Em trânsito
05/19/2010;C10050003922;164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;40;06/11/2010;Em trânsito
06/17/2010;C10060003020;164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;48;07/21/2010;Encerrada
11/25/2009;C09110003482;164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;132;12/04/2009;Encerrada
09/23/2009;C09090004411;164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;104;09/30/2009;Encerrada
08/19/2009;C09080003919;164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;111;08/25/2009;Encerrada
10/30/2009;C09100006543;164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;90;11/06/2009;Encerrada
04/14/2011;C11040002778;164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;100;04/26/2011;Encerrada
03/22/2011;C11030004352;164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;100;03/24/2011;Encerrada
02/04/2011;C11020001563;164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;180;02/10/2011;Em trânsito
09/30/2010;C10090005241;164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;120;11/03/2010;Encerrada
08/09/2010;C10080001219;164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;100;08/27/2010;Em trânsito
11/29/2010;C10110006094;164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;200;12/02/2010;Encerrada
08/15/2011;C11080004178;164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;100;08/17/2011;Encerrada
08/17/2011;C11080005069;164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;26;08/17/2011;Encerrada
06/22/2011;C11060006906;164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;103;06/28/2011;Encerrada
11/09/2011;C11110003093;164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;154;11/18/2011;Encerrada
09/06/2011;C11090001511;164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;330;10/04/2011;Encerrada
09/26/2011;C11090007048;164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;111;10/04/2011;Encerrada
10/17/2011;C11100004100;164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;74;10/24/2011;Encerrada
06/05/2012;C12060001287;164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;15;06/14/2012;Encerrada
05/31/2012;C12050009498;164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;82;06/06/2012;Encerrada
06/25/2012;C12060008966;164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;50;07/30/2012;Encerrada
05/10/2012;C12050003023;164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;130;06/06/2012;Encerrada
12/29/2011;C11120006125;164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;70;02/17/2012;Encerrada
02/08/2012;C12020001316;164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;180;02/17/2012;Encerrada
12/05/2012;C12120000885;164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;60;12/10/2012;Encerrada
11/23/2012;C12110005728;164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;25;12/10/2012;Encerrada
12/21/2012;C12120006301;164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;100;;Aguardando coleta
12/28/2012;C12120007545;164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;170;01/03/2013;Encerrada
07/24/2012;C12070006109;164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;250;08/06/2012;Encerrada
08/09/2012;C12080002815;164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;30;08/14/2012;Encerrada
08/31/2012;C12080009828;164;PRINTER FACILITIES LOCAÇÃO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA;60;09/10/2012;Encerrada
