Data Solicitação;Número Solicitação;Cod. Cliente;Razão Social;UF Cliente;Qtd. Cartuchos;Cód. Categoria;Desc. Categoria
05/09/2007;C07090000142;1;1;2;164;---;---
05/09/2007;C07090000223;2;2;2;436;---;---
05/09/2007;C07090000304;3;3;2;117;---;---
05/09/2007;C07090000576;1;1;2;100;---;---
05/09/2007;C07090000657;4;4;3;1969;---;---
06/09/2007;C07090001386;1;1;2;100;---;---
06/09/2007;C07090001548;1;1;2;250;---;---
06/09/2007;C07090001700;3;3;2;200;---;---
06/09/2007;C07090001890;3;3;2;500;---;---
06/09/2007;C07090001971;3;3;2;300;---;---
06/09/2007;C07090002005;3;3;2;400;---;---
10/09/2007;C07090002196;6;6;3;100;---;---
10/09/2007;C07090002277;6;6;3;400;---;---
10/09/2007;C07090002358;6;6;3;300;---;---
10/09/2007;C07090002439;6;6;3;300;---;---
10/09/2007;C07090002510;6;6;3;200;---;---
10/09/2007;C07090002609;6;6;3;100;---;---
10/09/2007;C07090002781;6;6;3;200;---;---
10/09/2007;C07090002862;6;6;3;200;---;---
10/09/2007;C07090002943;6;6;3;200;---;---
10/09/2007;C07090003087;6;6;3;100;---;---
10/09/2007;C07090003168;6;6;3;300;---;---
10/09/2007;C07090003249;6;6;3;400;---;---
10/09/2007;C07090003320;6;6;3;100;---;---
10/09/2007;C07090003400;6;6;3;199;---;---
10/09/2007;C07090003591;6;6;3;299;---;---
10/09/2007;C07090003672;6;6;3;200;---;---
10/09/2007;C07090003753;6;6;3;100;---;---
10/09/2007;C07090003834;6;6;3;400;---;---
10/09/2007;C07090003915;6;6;3;100;---;---
10/09/2007;C07090004059;6;6;3;500;---;---
10/09/2007;C07090004130;6;6;3;100;---;---
10/09/2007;C07090004210;6;6;3;100;---;---
10/09/2007;C07090004300;6;6;3;200;---;---
10/09/2007;C07090004482;7;7;3;568;---;---
10/09/2007;C07090004563;1;1;2;100;---;---
10/09/2007;C07090004644;7;7;3;50;---;---
10/09/2007;C07090004725;6;6;3;100;---;---
10/09/2007;C07090004806;6;6;3;300;---;---
10/09/2007;C07090004997;6;6;3;200;---;---
10/09/2007;C07090005101;6;6;3;200;---;---
10/09/2007;C07090005292;6;6;3;100;---;---
10/09/2007;C07090005373;6;6;3;400;---;---
10/09/2007;C07090005454;6;6;3;400;---;---
10/09/2007;C07090005616;6;6;3;100;---;---
10/09/2007;C07090005705;6;6;3;200;---;---
10/09/2007;C07090005888;6;6;3;300;---;---
10/09/2007;C07090005969;6;6;3;100;---;---
10/09/2007;C07090006000;6;6;3;200;---;---
10/09/2007;C07090006183;6;6;3;200;---;---
10/09/2007;C07090006264;6;6;3;100;---;---
10/09/2007;C07090006345;6;6;3;500;---;---
10/09/2007;C07090006426;6;6;3;200;---;---
