Data Solicitação;Número Solicitação;Cod. Cliente;Razão Social;Qtd. Cartuchos;Data Programada;Status
03/21/2013;C13030007730;662;DIMEX DO TRIANGULO LTDA;100;03/27/2013;Encerrada
05/31/2013;C13050011067;662;DIMEX DO TRIANGULO LTDA;180;;Aguardando coleta
07/01/2013;C13070000265;662;DIMEX DO TRIANGULO LTDA;250;07/05/2013;Encerrada
04/26/2013;C13040010050;662;DIMEX DO TRIANGULO LTDA;250;04/29/2013;Encerrada
05/14/2013;C13050004877;662;DIMEX DO TRIANGULO LTDA;200;05/24/2013;Encerrada
08/26/2013;C13080008609;662;DIMEX DO TRIANGULO LTDA;120;;Rejeitada
08/26/2013;C13080008790;662;DIMEX DO TRIANGULO LTDA;120;08/29/2013;Encerrada
08/26/2013;C13080008870;662;DIMEX DO TRIANGULO LTDA;120;;Rejeitada
09/04/2013;C13090001399;662;DIMEX DO TRIANGULO LTDA;150;09/16/2013;Em trânsito
09/11/2013;C13090003170;662;DIMEX DO TRIANGULO LTDA;200;09/16/2013;Encerrada
08/01/2013;C13080000110;662;DIMEX DO TRIANGULO LTDA;100;08/07/2013;Encerrada
08/07/2013;C13080003720;662;DIMEX DO TRIANGULO LTDA;80;08/13/2013;Encerrada
07/12/2013;C13070004686;662;DIMEX DO TRIANGULO LTDA;200;07/19/2013;Encerrada
10/03/2013;C13100000900;662;DIMEX DO TRIANGULO LTDA;150;10/08/2013;Encerrada
10/22/2013;C13100006436;662;DIMEX DO TRIANGULO LTDA;150;10/25/2013;Encerrada
11/29/2013;C13110009900;662;DIMEX DO TRIANGULO LTDA;200;12/02/2013;Encerrada
11/08/2013;C13110002727;662;DIMEX DO TRIANGULO LTDA;200;11/12/2013;Encerrada
03/14/2014;C14030003687;662;DIMEX DO TRIANGULO LTDA;150;;Aprovada
02/26/2014;C14020012802;662;DIMEX DO TRIANGULO LTDA;200;;Aguardando coleta
02/10/2014;C14020005504;662;DIMEX DO TRIANGULO LTDA;200;;Aguardando coleta
01/28/2014;C14010008160;662;DIMEX DO TRIANGULO LTDA;180;;Aguardando coleta
01/14/2014;C14010003525;662;DIMEX DO TRIANGULO LTDA;280;01/16/2014;Em trânsito
12/13/2013;C13120004625;662;DIMEX DO TRIANGULO LTDA;200;12/16/2013;Encerrada
