Data Solicitação;Número Solicitação;Cod. Cliente;Razão Social;Qtd. Cartuchos;Data Programada;Status
09/09/2008;C08090000329;118;BIRD SOLUTION LTDA;78;10/09/2008;Encerrada
30/10/2008;C08100004585;118;BIRD SOLUTION LTDA;47;31/10/2008;Encerrada
19/12/2008;C08120005447;118;BIRD SOLUTION LTDA;37;30/12/2008;Encerrada
19/03/2009;C09030004237;118;BIRD SOLUTION LTDA;132;23/03/2009;Encerrada
07/05/2009;C09050001292;118;BIRD SOLUTION LTDA;133;11/05/2009;Encerrada
12/06/2009;C09060001732;118;BIRD SOLUTION LTDA;202;18/06/2009;Encerrada
07/08/2009;C09080001118;118;BIRD SOLUTION LTDA;432;10/08/2009;Encerrada
19/08/2009;C09080003757;118;BIRD SOLUTION LTDA;167;21/08/2009;Em trânsito
20/08/2009;C09080004133;118;BIRD SOLUTION LTDA;79;24/08/2009;Encerrada
25/08/2009;C09080005296;118;BIRD SOLUTION LTDA;37;03/09/2009;Em trânsito
18/09/2009;C09090003873;118;BIRD SOLUTION LTDA;84;24/09/2009;Em trânsito
30/09/2009;C09090005817;118;BIRD SOLUTION LTDA;90;06/10/2009;Em trânsito
02/10/2009;C09100000421;277;Hospital Novo Atibaia S/A;29;09/10/2009;Em trânsito
02/10/2009;C09100000774;118;BIRD SOLUTION LTDA;50;08/10/2009;Em trânsito
06/10/2009;C09100001070;118;BIRD SOLUTION LTDA;35;14/10/2009;Em trânsito
14/10/2009;C09100002475;118;BIRD SOLUTION LTDA;35;20/10/2009;Em trânsito
19/10/2009;C09100003285;118;BIRD SOLUTION LTDA;35;22/10/2009;Em trânsito
27/10/2009;C09100004842;118;BIRD SOLUTION LTDA;55;05/11/2009;Em trânsito
29/10/2009;C09100005652;118;BIRD SOLUTION LTDA;35;;Aguardando coleta
30/10/2009;C09100005814;118;BIRD SOLUTION LTDA;40;;Em espera de Aprovação
