Data Solicitação;Número Solicitação;Cod. Cliente;Razão Social;Qtd. Cartuchos;Data Programada;Status
05/04/2010;C10050000311;233;prodem produtos odontologicos ltda ;5;05/10/2010;Encerrada
03/30/2010;C10030005571;233;prodem produtos odontologicos ltda ;22;04/15/2010;Encerrada
04/17/2009;E09040004515;233;prodem produtos odontologicos ltda ;28;;Rejeitada
04/20/2009;C09040004604;233;prodem produtos odontologicos ltda ;28;04/23/2009;Encerrada
12/06/2010;C10120000331;233;prodem produtos odontologicos ltda ;18;12/17/2010;Encerrada
05/23/2011;C11050005303;233;prodem produtos odontologicos ltda ;18;06/01/2011;Encerrada
10/19/2011;C11100004704;233;prodem produtos odontologicos ltda ;12;10/31/2011;Encerrada
03/15/2012;C12030004296;233;prodem produtos odontologicos ltda ;17;03/26/2012;Em trânsito
03/12/2012;C12030003486;233;prodem produtos odontologicos ltda ;18;03/26/2012;Encerrada
01/08/2013;C13010002377;233;prodem produtos odontologicos ltda ;14;;Aguardando coleta
09/26/2014;C14090010566;233;prodem produtos odontologicos ltda ;8;;Em espera de Aprovação
