Data Solicitação;Número Solicitação;Cod. Cliente;Razão Social;Qtd. Cartuchos;Data Programada;Status
05/03/2014;C14050000470;138;OKIDATA DO BRASIL INFORMÁTICA;5;;Em espera de Aprovação
05/03/2014;C14050000551;138;OKIDATA DO BRASIL INFORMÁTICA;6;;Em espera de Aprovação
05/03/2014;C14050000632;138;OKIDATA DO BRASIL INFORMÁTICA;7;;Em espera de Aprovação
05/03/2014;C14050000713;138;OKIDATA DO BRASIL INFORMÁTICA;7;;Em espera de Aprovação
05/05/2014;C14050001108;138;OKIDATA DO BRASIL INFORMÁTICA;10;;Em espera de Aprovação
05/05/2014;C14050001280;138;OKIDATA DO BRASIL INFORMÁTICA;11;;Em espera de Aprovação
05/05/2014;C14050001361;138;OKIDATA DO BRASIL INFORMÁTICA;11;;Em espera de Aprovação
05/05/2014;C14050001795;138;OKIDATA DO BRASIL INFORMÁTICA;10;;Em espera de Aprovação
05/05/2014;C14050001876;138;OKIDATA DO BRASIL INFORMÁTICA;11;;Em espera de Aprovação
05/05/2014;C14050001957;138;OKIDATA DO BRASIL INFORMÁTICA;11;;Em espera de Aprovação
05/05/2014;C14050002090;138;OKIDATA DO BRASIL INFORMÁTICA;11;;Em espera de Aprovação
05/05/2014;C14050002171;138;OKIDATA DO BRASIL INFORMÁTICA;13;;Em espera de Aprovação
05/05/2014;C14050002252;138;OKIDATA DO BRASIL INFORMÁTICA;12;;Em espera de Aprovação
