Data Solicitacao;Data Aprovacao;Data Programada;Data Recebimento;Numero Solicitacao;Cod Cliente;Razao Social;UF Cliente;Qtd. Cartuchos;Cod. Categoria;Desc. Categoria;Transportadora;Status
04/02/2014;04/03/2014;;;C14040001164;119;BIRD SOLUTION LTDA;SP;160;4;Revendedor;RESOLUTION ECOLOGÍSTICA REVERSA LTDA.;Aprovada
04/22/2014;04/22/2014;;;C14040008096;119;BIRD SOLUTION LTDA;SP;292;4;Revendedor;RESOLUTION ECOLOGÍSTICA REVERSA LTDA.;Aprovada
05/12/2014;05/12/2014;05/14/2014;07/01/2014;C14050004468;119;BIRD SOLUTION LTDA;SP;313;4;Revendedor;RESOLUTION ECOLOGÍSTICA REVERSA LTDA.;Encerrada
05/20/2014;05/21/2014;;;C14050008889;119;BIRD SOLUTION LTDA;SP;103;4;Revendedor;RESOLUTION ECOLOGÍSTICA REVERSA LTDA.;Aprovada
07/07/2014;07/08/2014;07/09/2014;08/06/2014;C14070002738;119;BIRD SOLUTION LTDA;SP;456;4;Revendedor;RESOLUTION ECOLOGÍSTICA REVERSA LTDA.;Encerrada
07/16/2014;07/17/2014;07/17/2014;08/06/2014;C14070007454;119;BIRD SOLUTION LTDA;SP;120;4;Revendedor;RESOLUTION ECOLOGÍSTICA REVERSA LTDA.;Encerrada
07/21/2014;07/22/2014;07/23/2014;08/06/2014;C14070009821;119;BIRD SOLUTION LTDA;SP;65;4;Revendedor;RESOLUTION ECOLOGÍSTICA REVERSA LTDA.;Encerrada
07/28/2014;07/28/2014;07/29/2014;09/01/2014;C14070013187;119;BIRD SOLUTION LTDA;SP;65;4;Revendedor;RESOLUTION ECOLOGÍSTICA REVERSA LTDA.;Encerrada
08/05/2014;08/05/2014;08/06/2014;09/01/2014;C14080001378;119;BIRD SOLUTION LTDA;SP;215;4;Revendedor;RESOLUTION ECOLOGÍSTICA REVERSA LTDA.;Encerrada
08/20/2014;08/21/2014;08/22/2014;10/01/2014;C14080006841;119;BIRD SOLUTION LTDA;SP;257;4;Revendedor;RESOLUTION ECOLOGÍSTICA REVERSA LTDA.;Encerrada
09/16/2014;09/17/2014;09/23/2014;11/10/2014;C14090006615;119;BIRD SOLUTION LTDA;SP;475;4;Revendedor;RESOLUTION ECOLOGÍSTICA REVERSA LTDA.;Encerrada
09/24/2014;09/29/2014;09/30/2014;11/10/2014;C14090009711;119;BIRD SOLUTION LTDA;SP;333;4;Revendedor;RESOLUTION ECOLOGÍSTICA REVERSA LTDA.;Encerrada
10/10/2014;10/13/2014;10/17/2014;11/10/2014;C14100005721;119;BIRD SOLUTION LTDA;SP;171;4;Revendedor;RESOLUTION ECOLOGÍSTICA REVERSA LTDA.;Encerrada
11/24/2014;11/25/2014;11/26/2014;01/05/2015;C14110009754;119;BIRD SOLUTION LTDA;SP;650;4;Revendedor;RESOLUTION ECOLOGÍSTICA REVERSA LTDA.;Encerrada
12/09/2014;12/10/2014;12/11/2014;01/05/2015;C14120004569;119;BIRD SOLUTION LTDA;SP;300;4;Revendedor;RESOLUTION ECOLOGÍSTICA REVERSA LTDA.;Encerrada
02/02/2015;02/02/2015;02/03/2015;03/13/2015;C15020000306;119;BIRD SOLUTION LTDA;SP;602;4;Revendedor;RESOLUTION ECOLOGÍSTICA REVERSA LTDA.;Encerrada
03/27/2015;03/30/2015;04/07/2015;05/07/2015;C15030012854;119;BIRD SOLUTION LTDA;SP;535;4;Revendedor;RESOLUTION ECOLOGÍSTICA REVERSA LTDA.;Encerrada
05/27/2015;05/28/2015;06/11/2015;;C15050014364;119;BIRD SOLUTION LTDA;SP;328;4;Revendedor;RESOLUTION ECOLOGÍSTICA REVERSA LTDA.;Aguardando coleta
06/18/2015;06/19/2015;07/03/2015;;C15060008758;119;BIRD SOLUTION LTDA;SP;300;4;Revendedor;RESOLUTION ECOLOGÍSTICA REVERSA LTDA.;Aguardando coleta
