Data Solicitação;Número Solicitação;Cod. Cliente;Razão Social;Qtd. Cartuchos;Data de Entrega;Status
31/10/2007;E07100005532;44;alex;50;;Em espera de Aprovação
01/11/2007;E07110000347;46;teste Miracula;10;;Em espera de Aprovação
07/11/2007;E07110000690;48;teste Miracula;10;;Em espera de Aprovação
07/11/2007;E07110000932;51;jajajajaj;10;;Em espera de Aprovação
08/11/2007;E07110001580;56;alex teste teste;20;;Em espera de Aprovação
28/11/2007;E07110002471;63;Perla do Santos;1;;Em espera de Aprovação
10/12/2007;E07120001001;67;Jadilson;1;;Em espera de Aprovação
10/12/2007;E07120001192;67;Jadilson;1;;Em espera de Aprovação
10/12/2007;E07120001435;66;SHARPENER LTDA;5;;Em espera de Aprovação
10/12/2007;E07120001605;67;Jadilson;45;;Em espera de Aprovação
11/12/2007;E07120002598;69;Marcela;1;;Em espera de Aprovação
