Data Solicitação;Número Solicitação;Cod. Cliente;Razão Social;UF Cliente;Qtd. Cartuchos;Cód. Categoria;Desc. Categoria
05/09/2007;C07090000142;1;BANCO ITAU S. A.                        ;SP;164;1;Corporativa
05/09/2007;C07090000223;2;BANCO ITAU S. A.                        ;SP;436;1;Corporativa
05/09/2007;C07090000304;3;BANCO ITAU S. A.                        ;PR;117;1;Corporativa
05/09/2007;C07090000576;1;BANCO ITAU S. A.                        ;SP;100;1;Corporativa
05/09/2007;C07090000657;4;BANCO ABN AMRO REAL S/A                 ;SP;1969;1;Corporativa
06/09/2007;C07090001386;1;BANCO ITAU S. A.                        ;SP;100;1;Corporativa
06/09/2007;C07090001548;1;BANCO ITAU S. A.                        ;SP;250;1;Corporativa
06/09/2007;C07090001700;3;BANCO ITAU S. A.                        ;PR;200;1;Corporativa
10/09/2007;C07090004563;1;BANCO ITAU S. A.                        ;SP;100;1;Corporativa
10/09/2007;C07090005705;6;MIRACULA STORE;SP;200;1;Corporativa
10/09/2007;C07090006507;6;MIRACULA STORE;SP;200;1;Corporativa
10/09/2007;C07090006698;6;MIRACULA STORE;SP;100;1;Corporativa
10/09/2007;C07090006779;6;MIRACULA STORE;SP;200;1;Corporativa
10/09/2007;C07090007236;6;MIRACULA STORE;SP;200;1;Corporativa
12/09/2007;C07090007902;11;ALLDORA TECNOLOGIA LTDA;SP;70;1;Corporativa
12/09/2007;C07090011268;8;NEXXIA;SP;400;1;Corporativa
12/09/2007;C07090011349;8;NEXXIA;SP;1000;1;Corporativa
12/09/2007;C07090011420;8;NEXXIA;SP;3000;1;Corporativa
10/09/2007;M07090007155;1;CONTEC INFORMATICA LTDA                 ;1;164;---;---
12/09/2007;M07090008801;3;PONTO  COLETA MIRACULA;2;436;---;---
12/09/2007;M07090009441;3;PONTO  COLETA MIRACULA;2;117;---;---
12/09/2007;M07090011853;3;PONTO  COLETA MIRACULA;1;100;---;---
