C10070003901;22062011;44318604;66
C10070003901;22062011;44318602;68
C10070003901;22062011;44318603;67
C10070003901;22062011;44318601;68
C10070003901;22062011;42918982;62
C10070003901;22062011;42918983;153
C10070003901;22062011;42918984;147
C10070003901;22062011;42918981;141
C10070003901;22062011;43460202;45
C10070003901;22062011;43460203;40
C10070003901;22062011;43460201;48
C10070003901;22062011;43460204;49
C10070003901;22062011;43866103;85
C10070003901;22062011;43866104;88
C10070003901;22062011;43866102;90
C10070003901;22062011;43866101;89
C10070003901;22062011;44318503;35
C10070003901;22062011;44318504;30
C10070003901;22062011;44318502;31
C10070003901;22062011;44318501;30
C10070003901;22062011;42918102;11
C10070003901;22062011;42918103;10
C10070003901;22062011;42918104;10
C10070003901;22062011;42918101;99
C10070003901;22062011;44318604;25
C10070003901;22062011;44318602;21
C10070003901;22062011;44318603;20
C10070003901;22062011;44318604;20
C10070003901;22062011;41963002;25
C10070003901;22062011;41963001;20
C10070003901;22062011;41963003;21
C10070003901;22062011;41963004;25
C10070003901;22062011;41962802;15
C10070003901;22062011;41962803;11
C10070003901;22062011;41962804;13
C10070003901;22062011;41962801;18
C10070003901;22062011;43502001;10
